TAX,ASSESSED
SCHOOL,15960
COUNTY,21800
VILLAGE,21800
SCHOOL,21800
COUNTY,22400
VILLAGE,22400
SCHOOL,22400
COUNTY,23250
VILLAGE,23250
SCHOOL,23250
COUNTY,18300
VILLAGE,18300
SCHOOL,18300
COUNTY,26475
VILLAGE,26475
SCHOOL,26475
COUNTY,21325
VILLAGE,21325
SCHOOL,21325
COUNTY,23250
VILLAGE,23250
SCHOOL,19460
COUNTY,20850
VILLAGE,20850
SCHOOL,19020
COUNTY,23900
VILLAGE,23900
SCHOOL,22070
COUNTY,21200
VILLAGE,21200
SCHOOL,21200
COUNTY,17950
VILLAGE,17950
SCHOOL,17950
COUNTY,37850
VILLAGE,37850
SCHOOL,36020
COUNTY,31550
VILLAGE,31550
SCHOOL,31550
COUNTY,18500
VILLAGE,18500
SCHOOL,16670
COUNTY,42825
VILLAGE,42825
SCHOOL,42825
COUNTY,33875
VILLAGE,33875
SCHOOL,33875
COUNTY,18300
VILLAGE,18300
SCHOOL,18300
COUNTY,21125
VILLAGE,21125
SCHOOL,21125
COUNTY,39500
VILLAGE,39500
SCHOOL,39500
COUNTY,23250
VILLAGE,23250
SCHOOL,23250
COUNTY,40500
VILLAGE,40500
SCHOOL,40500
COUNTY,19450
VILLAGE,19450
SCHOOL,17620
COUNTY,18900
VILLAGE,18900
SCHOOL,15110
COUNTY,19500
VILLAGE,19500
SCHOOL,17670
COUNTY,30500
VILLAGE,30500
SCHOOL,30500
COUNTY,23700
VILLAGE,23700
SCHOOL,21870
COUNTY,23675
VILLAGE,23675
SCHOOL,21845
COUNTY,4400
VILLAGE,4400
SCHOOL,4400
COUNTY,9900
VILLAGE,9900
SCHOOL,6110
COUNTY,17200
VILLAGE,17200
SCHOOL,17200
COUNTY,21050
VILLAGE,21050
SCHOOL,19220
COUNTY,22100
VILLAGE,22100
SCHOOL,20270
COUNTY,15850
VILLAGE,15850
SCHOOL,12060
COUNTY,14950
VILLAGE,14950
SCHOOL,13120
COUNTY,22200
VILLAGE,22200
SCHOOL,20370
COUNTY,26400
VILLAGE,26400
SCHOOL,26400
COUNTY,52650
VILLAGE,52650
SCHOOL,52650
COUNTY,26050
VILLAGE,26050
SCHOOL,24220
COUNTY,4800
VILLAGE,4800
SCHOOL,4800
COUNTY,20250
VILLAGE,20250
SCHOOL,20250
COUNTY,13500
VILLAGE,13500
SCHOOL,16670
COUNTY,20075
VILLAGE,20075
SCHOOL,20075
COUNTY,34325
VILLAGE,34325
SCHOOL,32495
COUNTY,36325
VILLAGE,36325
SCHOOL,36325
COUNTY,17600
VILLAGE,17600
SCHOOL,13810
COUNTY,19300
VILLAGE,19300
SCHOOL,17470
COUNTY,23100
VILLAGE,23100
SCHOOL,21270
COUNTY,12775
VILLAGE,12775
SCHOOL,13985
COUNTY,24800
VILLAGE,24800
SCHOOL,24800
COUNTY,18550
VILLAGE,18550
SCHOOL,18550
COUNTY,21350
VILLAGE,21350
SCHOOL,21350
COUNTY,21325
VILLAGE,21325
SCHOOL,19495
COUNTY,38425
